positive,negative,rating,comments,category,comments_preprocessed
Devojke koje rade na recepciji su bile ljubazne.,"Krevet se polomio. Voda koja bi trebala da navodno uvek bude topla nije bila, za zimske dane - katastrofa. Šampanjac koji je obećan uz sobu nije bio tu- obećano nam je da će ga doneti sutra, naravno nisu. Dobro je da nismo propali ( što se parketa tiče)",2,"Devojke koje rade na recepciji su bile ljubazne. Krevet se polomio. Voda koja bi trebala da navodno uvek bude topla nije bila, za zimske dane - katastrofa. Šampanjac koji je obećan uz sobu nije bio tu- obećano nam je da će ga doneti sutra, naravno nisu. Dobro je da nismo propali ( što se parketa tiče)",negativan,devojka raditi recepcija ljubazan krevet polomiti voda trebati navodno uvek topla zimski katastrofa šampanjac obećan soba obećati doneti sutra naravno dobar propasti parket ticati
Lokacija objekta je super,"Neispravan bojler, nije bilo tople vode",3,"Lokacija objekta je super Neispravan bojler, nije bilo tople vode",negativan,lokacija objekt super neispravan bojler topao voda
Lokacija izvanredna,"Kosi krovovi koji onemogućavaju normalno obavljanje male nužde , leganje i ustajanje iz francuskog kreveta. Položaj tv takav da se ne može gledati ni sa jednog od četiri krevets u apartmanu",3,"Lokacija izvanredna Kosi krovovi koji onemogućavaju normalno obavljanje male nužde , leganje i ustajanje iz francuskog kreveta. Položaj tv takav da se ne može gledati ni sa jednog od četiri krevets u apartmanu",negativan,lokacija izvanredni kositi krov onemogućavati normalan obavljanje mali nužda leganje ustajanje francuski krevet položaj tv takav moći gledati četiri krevets apartman
Osoblje je uzasno ne preporucijemo nikome iskreno,Cena pise jedna a kad odes na recepciji sasvim druga,1,Osoblje je uzasno ne preporucijemo nikome iskreno Cena pise jedna a kad odes na recepciji sasvim druga,negativan,osoblje uzasan preporucivati iskren cena pisati kad odesti recepcija sasvim drugi
Ništa !!!,"Objekat je ndgrađen iznad garažnih mesta, tako da se u sobi ulazi improvizovanim metalnim stepenicama i sa improvizovanom delu ispred sobe koj služi za kretanje i direktno se ulazi u sobi bez predsobla u kojoj postoji klima koja u hladnim danima nemože zagrejati sobu.
U ponidi se nudi apratman, međutim ne radi se o aprtmanu već o klasičnoj sobi gde sam ja boravio iznad garažnih mesta.
Vlasnik poseduje čvrst objekat  u istom krug (odvojen objekat zidani) koji prezentuje putem Bookinga ali poseduje i ovaj nadzidani objekat iznad garažnih mesta koji izdaje akao aprtmani!!!",1,"Ništa !!! Objekat je ndgrađen iznad garažnih mesta, tako da se u sobi ulazi improvizovanim metalnim stepenicama i sa improvizovanom delu ispred sobe koj služi za kretanje i direktno se ulazi u sobi bez predsobla u kojoj postoji klima koja u hladnim danima nemože zagrejati sobu.
U ponidi se nudi apratman, međutim ne radi se o aprtmanu već o klasičnoj sobi gde sam ja boravio iznad garažnih mesta.
Vlasnik poseduje čvrst objekat  u istom krug (odvojen objekat zidani) koji prezentuje putem Bookinga ali poseduje i ovaj nadzidani objekat iznad garažnih mesta koji izdaje akao aprtmani!!!",negativan,ništa objekat ndgrađen iznad garažni mesto soba ulaziti improvizovan metalan stepenica improvizovan deo ispred soba služiti kretanje direktno ulaziti soba predsobal postojati klima hladan dan nemožati zagrejati soba ponida nuditi apratman međutim raditi aprtman klasični soba boraviti iznad garažni mesto vlasnik posedovati čvrst objekat isti krug odvojiti objekat zidan prezentovati putem booking posedovati ovaj nadzidan objekat iznad garažni mesto izdavati akao aprtman
,Nije imalo uopste grejanje,3, Nije imalo uopste grejanje,negativan,imati uopsti grejanje
Jako mi se dopala lokacija i sve je na 10 minuta.,"Nije mi se dopalo sto nismo bili na lokaciji navedenoj u oglasu.  Takodje mi se nije dopalo sto je krevet toliko skripao da sam se budila na svaki okret, internet je bio uzasan, prekidalo je na svakih 10 min a kada nije prekidao, bio je uzasno spor. Roletne ne postoje pa je svetlost dopirala u sobu od same zore. Parking je toliko uzak da je prosto nemoguce izaci bez da se ometaju ostali posetioci apartmana. 
Najvise me je sokirao ulazak sobarice dok smo bili u apartmanu. Suprug je zatrazio minut vremena da se obuce da joj otvori vrata ali ona nije htela da saceka vec je sama otkljucala vrata i usla u kupatilo. Bezobrazluk.",3,"Jako mi se dopala lokacija i sve je na 10 minuta. Nije mi se dopalo sto nismo bili na lokaciji navedenoj u oglasu.  Takodje mi se nije dopalo sto je krevet toliko skripao da sam se budila na svaki okret, internet je bio uzasan, prekidalo je na svakih 10 min a kada nije prekidao, bio je uzasno spor. Roletne ne postoje pa je svetlost dopirala u sobu od same zore. Parking je toliko uzak da je prosto nemoguce izaci bez da se ometaju ostali posetioci apartmana. 
Najvise me je sokirao ulazak sobarice dok smo bili u apartmanu. Suprug je zatrazio minut vremena da se obuce da joj otvori vrata ali ona nije htela da saceka vec je sama otkljucala vrata i usla u kupatilo. Bezobrazluk.",negativan,jako dopasti lokacija sav minuta dopasti sto lokacija naveden oglas takodje dopasti sto krevet toliko skripati buditi svaki okret internet uzasan prekidati svaki min prekidati uzasan spor roletan postojati svetlost dopirati soba zora parking toliko uzak prosto nemoguce izaciti ometati ostali posetilac apartman mnogo sokirati ulazak sobarica apartman suprug zatraziti minut vreme obuciti otvoriti vrata sacekati otkljucati vrata uslati kupatilo bezobrazluk
Grejanje,"Prljav frizider, posteljina, krevet klimav,losa zvucna izolacija..........",2,"Grejanje Prljav frizider, posteljina, krevet klimav,losa zvucna izolacija..........",negativan,grejanje prljav frizider posteljina krevet klimavlos zvucan izolacija
Lokacija,"Parking mesto je previše usko i nema dovoljno mesta za izlazak iz vozila.
Apartman je takodje premali i raspored nameštaja je takav da ne može da se prođe između frižidera i kreveta.",2,"Lokacija Parking mesto je previše usko i nema dovoljno mesta za izlazak iz vozila.
Apartman je takodje premali i raspored nameštaja je takav da ne može da se prođe između frižidera i kreveta.",negativan,lokacija parking mesto previše usko nemati dovoljan mesto izlazak vozilo apartman takodje premati raspored nameštaj takav moći proći između frižider krevet
Lokacija je ok,"Strujni kablovi na sve strane,nema tople vode,otpale plocice u kupatilu a neke i polomljene,plafoni amstrong gipsani u veoma jadnom stanju i nije mi jasno kako je moguce da ovakvom objektu dodelite ocenu 9,2.UZAS",3,"Lokacija je ok Strujni kablovi na sve strane,nema tople vode,otpale plocice u kupatilu a neke i polomljene,plafoni amstrong gipsani u veoma jadnom stanju i nije mi jasno kako je moguce da ovakvom objektu dodelite ocenu 9,2.UZAS",negativan,lokacija ok strujni kabl sav stranene tople vodeotpati plocica kupatila polomljeneplafon amstrong gipsan veoma jadan stanje jasno moći ovakav objekt dodeliti ocena uzas
-,"""The Only One Suites"" - neprofesionalni i krajnje neozbiljni.
Najavljeno vrijeme dolaska i potvrđeno tečefonskim pozivom i mail-om.
Po dolasku na recepciju, recepcionar je saopštio da je ""izgubio"" ključ od apartmana i da ne može da nas primi, . Sve se to odigralo u 23:10h. On lagano to saopštava i kaže: ""Eto imate niže niz ulicu pa probajte.""",1,"- ""The Only One Suites"" - neprofesionalni i krajnje neozbiljni.
Najavljeno vrijeme dolaska i potvrđeno tečefonskim pozivom i mail-om.
Po dolasku na recepciju, recepcionar je saopštio da je ""izgubio"" ključ od apartmana i da ne može da nas primi, . Sve se to odigralo u 23:10h. On lagano to saopštava i kaže: ""Eto imate niže niz ulicu pa probajte.""",negativan,the only suiteti neprofesionalan krajnji neozbiljan najaviti vrijeme dolazak potvrditi tečefonski poziv mail dolasak recepcija recepcionar saopštiti izgubiti ključ apartman moći primiti sav odigrati h lagano saopštvavati kazati eto imati nizak niz ulica probajte
,"Na prvi pogled ne izgleda lose, ali u kupatilu nedostaju plocice, po malo se raspada, jastuci su poput kamena, od dve sobe i 8 jastuka, samo je 1 bio mekan. Hotel zaista zahteva renoviranje, imali smo osecaj da ce se sve raspasti. Ali sto se tice destinacije sve je bilo jako blizu. A osoblje je bilo pomalo negativno, na zalost.",3," Na prvi pogled ne izgleda lose, ali u kupatilu nedostaju plocice, po malo se raspada, jastuci su poput kamena, od dve sobe i 8 jastuka, samo je 1 bio mekan. Hotel zaista zahteva renoviranje, imali smo osecaj da ce se sve raspasti. Ali sto se tice destinacije sve je bilo jako blizu. A osoblje je bilo pomalo negativno, na zalost.",negativan,pogled izgleda lositi kupatila nedostajati plocica malo raspad jastuka poput kamen soba jastuka mekan hotel zaista zahtevati renoviranje imati osecaj ceti raspastiti sto tica destinacija sav jako osoblje pomalo negativan zalost
Lokacija je dobra.,"Naprosto, nema prostora ni za kakav komfor.
U redu je da soba bude mala, i da uglavnom tu krevet ima najvažniju ulogu, ali da nema gde korak da se napravi, malo je nerealan prostor za hotelsku sobu.
Lokacija je dobra, kao i ostale sobe pretpostavljam.
Soba u kojoj smo boravili, nema apsolutno nikakav predmet gde bi bilo šta moglo da se spusti. Zapravo u istoj i nema mesta ni za kakvu stolicu, ili bilo kakv sto.
Ako je jedina opcija ostaviti lične stvari, piće, hranu ili šta god na pod, to je više nego nekorektno prema gostima. Na slikama definitivno nije realna slika sobe.",3,"Lokacija je dobra. Naprosto, nema prostora ni za kakav komfor.
U redu je da soba bude mala, i da uglavnom tu krevet ima najvažniju ulogu, ali da nema gde korak da se napravi, malo je nerealan prostor za hotelsku sobu.
Lokacija je dobra, kao i ostale sobe pretpostavljam.
Soba u kojoj smo boravili, nema apsolutno nikakav predmet gde bi bilo šta moglo da se spusti. Zapravo u istoj i nema mesta ni za kakvu stolicu, ili bilo kakv sto.
Ako je jedina opcija ostaviti lične stvari, piće, hranu ili šta god na pod, to je više nego nekorektno prema gostima. Na slikama definitivno nije realna slika sobe.",negativan,lokacija dobar naprosto nemati prostor kakav komfor red soba mali uglavnom krevet imati važan uloga nemati korak napraviti malo nerealan prostor hotelski soba lokacija dobar kao ostali soba pretpostavljati soba boraviti nemati apsolutno nikakav predmet moći spustiti zapravo isti nemati mesto kakav stolica kakv sto opcija ostaviti ličan stvar piti hrana god mnogo nekorektno gost slika definitivno realan slika soba
Dobra je lokacija.,"Apartman uopšte ne izgleda kao na slici, imala sam osećaj da boravim u malo bolje sredjenoj supi. Naplaćena je veca cena nego ona koja je ugovorena preko bukinga
, za vreme boravka wifi je radio samo jedan dan.",2,"Dobra je lokacija. Apartman uopšte ne izgleda kao na slici, imala sam osećaj da boravim u malo bolje sredjenoj supi. Naplaćena je veca cena nego ona koja je ugovorena preko bukinga
, za vreme boravka wifi je radio samo jedan dan.",negativan,dobar lokacija apartman uopšte izgledati kao slika imati osećaj boraviti malo dobar sredjen supa naplatiti velik cena ugovoriti buking vreme boravak wifi raditi dan
Samo lokacija,Ništa...soba je mnogo prljava...zavese više po coskovima prljavština i budž...soba mnogo smrdi ...bila sam 5 dana niko ne menja posteljinu i peskire a smece sam moras bacati....uzas.stalno je jako glasno ....nema sanse da se odmori,1,Samo lokacija Ništa...soba je mnogo prljava...zavese više po coskovima prljavština i budž...soba mnogo smrdi ...bila sam 5 dana niko ne menja posteljinu i peskire a smece sam moras bacati....uzas.stalno je jako glasno ....nema sanse da se odmori,negativan,lokacija ništasob mnogo prljavazati mnogo cosak prljavština budžsoba mnogo smrda dan menjati posteljina peskira smeti moras bacatiuzasstalan jako glasno nemati sansa odmor
,"Grejanje pomoću klime i grejalice. Prozori su stari, u kupatilu nisu mogli da se zatvore.",2," Grejanje pomoću klime i grejalice. Prozori su stari, u kupatilu nisu mogli da se zatvore.",negativan,grejanje pomoću klime grejalica prozor star kupatila moći zatvoriti
"Nista, smestaj je mali, neadekvatan slikama na bookingu, higijena uzasna.Ne bih preporucio nikome.",Slike neodfovaraju realnosti. Economy soba je obicna šupa u kojoj je nemoguce funkcionisati. Osoblje neljunazno.,1,"Nista, smestaj je mali, neadekvatan slikama na bookingu, higijena uzasna.Ne bih preporucio nikome. Slike neodfovaraju realnosti. Economy soba je obicna šupa u kojoj je nemoguce funkcionisati. Osoblje neljunazno.",negativan,nista smestaj mali neadekvatan slika booking higilen uzasnati preporuciti slika neodfovarati realnost econa soba obican šup nemoguce funkcionisati osoblje neljunazan
"Lokacija, velicina apartmana, enterijer je ok, ali ne i u skladu sa cenom.","1. Cistoca - povedite racuna o cistoci kupatila
2. zaposlena je naplatila boravisnu taksu samo zato sto ne zna a ocita licnu kartu - misli da je ocitavanje isto sto i skeniranje, ne zna za pojam ""ocitati licnu kartu"" (adresa sa cipa je iz Beograda i taksa nije podlozna placanju samim tim, pa je imala komentar ""jel vam skupo da platite taksu"" - nije poenta u ceni vec poznavanju rada i ljubaznosti)
3. Naplata paodrkinga od 10e od uvece do ujutru je neprihvatljiva, narocito sto nije parking u garazi vec je auto bio izlozen na suncu
4. Cena vs kvalitet usluge nije relevantna",6,"Lokacija, velicina apartmana, enterijer je ok, ali ne i u skladu sa cenom. 1. Cistoca - povedite racuna o cistoci kupatila
2. zaposlena je naplatila boravisnu taksu samo zato sto ne zna a ocita licnu kartu - misli da je ocitavanje isto sto i skeniranje, ne zna za pojam ""ocitati licnu kartu"" (adresa sa cipa je iz Beograda i taksa nije podlozna placanju samim tim, pa je imala komentar ""jel vam skupo da platite taksu"" - nije poenta u ceni vec poznavanju rada i ljubaznosti)
3. Naplata paodrkinga od 10e od uvece do ujutru je neprihvatljiva, narocito sto nije parking u garazi vec je auto bio izlozen na suncu
4. Cena vs kvalitet usluge nije relevantna",neutralan,lokacija velicina apartman enterijer ok sklad cena cistoc povediti racunati cistoc kupatilo zaposlen naplatiti boravisan taksa zato sto ociti lican karta misliti ocitavanje isto sto skeniranje pojam ocitati lican karta adres cip beograda taksa podlozan placanje imati komentar jel skupo platiti taksa poent cena poznavanje rad ljubaznost naplat paodrking e uveca do ujutru neprihvatljiv narocito sto parking garaz auto izloziti sunce cena vs kvalitet usluga relevantan
"Interesantna lokacija, rustičnim stil, dovoljno prostora","Paučina, prašina, neudoban dušek. Tokom noći nije bilo vode.",5,"Interesantna lokacija, rustičnim stil, dovoljno prostora Paučina, prašina, neudoban dušek. Tokom noći nije bilo vode.",neutralan,interesantan lokacija rustičan stil dovoljno prostor paučinati prašina neudoban dušek tokom noć voda
Ništa nam se nije dopalo vlasnik stana nam je ulazio u apartman brljao dok mi nismo bili tu. gasio klimu i grejanje. Zaključava smeštaj kada je on to hteo i slično tome. Molim. Booking da sankcionise ovo.,Ništa nam se nije dopalo vlasnik stana nam je ulazio u apartman brljao dok mi nismo bili tu. gasio klimu i grejanje. Zaključava smeštaj kada je on to hteo i slično tome. Molim. Booking da sankcionise ovo. Sve u svemu blagi užas od vlasnika. Velika negativna ocena. Da pripazw ljudi koji odlaze kod istog čoveka,5,Ništa nam se nije dopalo vlasnik stana nam je ulazio u apartman brljao dok mi nismo bili tu. gasio klimu i grejanje. Zaključava smeštaj kada je on to hteo i slično tome. Molim. Booking da sankcionise ovo. Ništa nam se nije dopalo vlasnik stana nam je ulazio u apartman brljao dok mi nismo bili tu. gasio klimu i grejanje. Zaključava smeštaj kada je on to hteo i slično tome. Molim. Booking da sankcionise ovo. Sve u svemu blagi užas od vlasnika. Velika negativna ocena. Da pripazw ljudi koji odlaze kod istog čoveka,neutralan,ništa dopasti vlasnik stan ulaziti apartman brljati gasiti klima grejanje zaključavati smeštaj sličan moći booking sankcionisati ovaj ništa dopasti vlasnik stan ulaziti apartman brljati gasiti klima grejanje zaključavati smeštaj sličan moći booking sankcionisati ovaj sav blag užati vlasnik velik negativan ocena pripaziti čovek odlaziti kod isti čovek
Sacekala me voda u frizideru obicna i kisela😊,Mali apartman i buka jer je ulica i semafor odma ispod prozora😏,6,Sacekala me voda u frizideru obicna i kisela😊 Mali apartman i buka jer je ulica i semafor odma ispod prozora😏,neutralan,sacekati voda frizider obican kisela mali apartman buka ulica semafor odmati ispod prozor
sve je super lokacija osoblje higijena,"bracni krevet jer je bio sastavljen od dva manja duseka pa je rupa u sredini kreveta , nema bade mantila , i cena je malo preterano visoka",6,"sve je super lokacija osoblje higijena bracni krevet jer je bio sastavljen od dva manja duseka pa je rupa u sredini kreveta , nema bade mantila , i cena je malo preterano visoka",neutralan,sav super lokacija osoblje higiti bracan krevet sastaviti manja dusek rupa sredina krevet nemati bada mantil cena malo preterano visok
Zgrada u kojoj je apartman je nova i pristojno izgleda.,"Prilaz objektu je sa neobeleženog makadamskig puta, prašnjavog ili blatnjavog u dužini od 500+ metara. Apartman koji smo rezervisali na bookingu nije na slikama isti, ponuđen nam je smeštaj uz doplatu u drugom apartmanu.",5,"Zgrada u kojoj je apartman je nova i pristojno izgleda. Prilaz objektu je sa neobeleženog makadamskig puta, prašnjavog ili blatnjavog u dužini od 500+ metara. Apartman koji smo rezervisali na bookingu nije na slikama isti, ponuđen nam je smeštaj uz doplatu u drugom apartmanu.",neutralan,zgrada apartman nov pristojan izgleda prilaz objekt neobeležen makadamski prašnjav blatnjav dužina metar apartman rezervisati booking slika isti ponuditi smeštaj doplata drugi apartman
"Lokacija je dobra, blizu centra, a opet u mirnoj ulici. Apartman je bio čist, ok komunikacija za preuzimanje ključeva prilikom dolaska.","Tuš kabina u kupatilu ne samo da propušta vodu, već pravi poplavu u celom kupatilu prilikom svakog tuširanja. Apartman je bio ledeno hladan pri ulasku iako smo najavili okvirno vreme dolaska. Voda u kuvalu je stajala ko zna od kad. Dalje, zvučna izolacija ne postoji! Ukoliko nemate sreće da apartman iznad vas bude popunjen, nećete moći da normalno funkcionišete jer čujete i osetite vibraciju svakog koraka, čujete razgovore, vodu u kupatilu, gotovo kao da delite apartman sa nepoznatim ljudima. Objekat je samo fino našminkan i ništa više od toga, pa me čude ovako dobre recenzije. Možda u ostalim sobama, u sobi 5 u kojoj smo mi bili je baš loše.",4,"Lokacija je dobra, blizu centra, a opet u mirnoj ulici. Apartman je bio čist, ok komunikacija za preuzimanje ključeva prilikom dolaska. Tuš kabina u kupatilu ne samo da propušta vodu, već pravi poplavu u celom kupatilu prilikom svakog tuširanja. Apartman je bio ledeno hladan pri ulasku iako smo najavili okvirno vreme dolaska. Voda u kuvalu je stajala ko zna od kad. Dalje, zvučna izolacija ne postoji! Ukoliko nemate sreće da apartman iznad vas bude popunjen, nećete moći da normalno funkcionišete jer čujete i osetite vibraciju svakog koraka, čujete razgovore, vodu u kupatilu, gotovo kao da delite apartman sa nepoznatim ljudima. Objekat je samo fino našminkan i ništa više od toga, pa me čude ovako dobre recenzije. Možda u ostalim sobama, u sobi 5 u kojoj smo mi bili je baš loše.",neutralan,lokacija dobar centar opet miran ulica apartman čist ok komunikacija preuzimanje ključevo prilikom dolazak tuš kabina kupatila propuštati voda pravi poplava ceo kupatila prilikom svaki tuširanje apartman ledeno hladan pri ulazak najaviti okviran vreme dolazak voda kuval stajati kad daleko zvučan izolacija postojati ukoliko nemati sretati apartman iznad popuniti moći normalno funkcionisati čuti osetiti vibracija svaki korak čuti razgovor voda kupatila gotovo kao deliti apartman nepoznat čovek objekat fino našminkan ništa mnogo čuditi ovako dobar recenzija možda ostali soba soba loš e
"Lokacija,udobnost ,izuzetnno dobar odnos  osoblja prema gostima","Malo peškira ,pojedini delovi sobe i kupatila  nisu bili čisti",4,"Lokacija,udobnost ,izuzetnno dobar odnos  osoblja prema gostima Malo peškira ,pojedini delovi sobe i kupatila  nisu bili čisti",neutralan,lokacijaudobnost izuzetnno dobar odnos osoblje gost malo peškirati pojediti deo soba kupatilo čist
,"Nije bilo tople vode ni uveče a ni ujutru. Rekao bih i da su smanjeni normativi kada je doručak u pitanju.
Sve to se naravno nije odrazilo na cenu u znak razumevanja.",4," Nije bilo tople vode ni uveče a ni ujutru. Rekao bih i da su smanjeni normativi kada je doručak u pitanju.
Sve to se naravno nije odrazilo na cenu u znak razumevanja.",neutralan,topao voda uveče ujutru reći smanjiti normativa doručak pitanje sav naravno odraziti cena znak razumevanje
Higijena i dorucak su dobri.,"Ispod sobe u kojoj sam boravila nalazi se uredjaj od ventilacije kuhinje koji je neprestano brujao i po danu i po noci. Obavjestila sam recepciju i rekli su da ce noću da ugase ali nisu ni jednu od 3 noći koje sam provela. Uglavnom cu pamtiti boravak po neprospavanim noćima.
Hotel ima dosta prednosti ali ovakvi propusti nisu korektni za novac koji sam platila.",5,"Higijena i dorucak su dobri. Ispod sobe u kojoj sam boravila nalazi se uredjaj od ventilacije kuhinje koji je neprestano brujao i po danu i po noci. Obavjestila sam recepciju i rekli su da ce noću da ugase ali nisu ni jednu od 3 noći koje sam provela. Uglavnom cu pamtiti boravak po neprospavanim noćima.
Hotel ima dosta prednosti ali ovakvi propusti nisu korektni za novac koji sam platila.",neutralan,higilen dorucak dobar ispod soba boraviti nalaziti uredjati ventilacija kuhinje neprestano brujati dan noka obavjestiti recepcija reći noću ugasti noć provesti uglavnom pamtiti boravak neprospavan noć hotel imati dosta prednost ovakav propust korektan novac platiti
"Lokacija hotela je odlicna.
Restoran u sklopu hotela je dobar.","U ovom hotelu odsedamo vec 3 god.
Kad god smo u Bg-u,odsedamo tamo.
Prvo smo preko booking-a dobili upgrade za apartman po ceni sobe.Samo sat vremena kasnije stize poruka da cemo ipak biti u sobi iz tehnickih razloga🤨.
Soba u kojoj smo bili smesteni je kao i sve ostale sobe u hotelu,ali kupatilo je katastrofalno.
Budj u tus kabini,na plocicama…bas,bas grozno.Lampa ne radi jer nema sijalicu,daljinski sam nosila na recepciju da mi zamene baterije.
Da ne komentarisem proslave koje se organizuju svakog vikenda pa nemas mesta za parkiranje,a muzika ispod tebe bije do ponoci,tako da ako ste za vikend krenuli da slucajno odmorite,preskocite ovaj hotel.",6,"Lokacija hotela je odlicna.
Restoran u sklopu hotela je dobar. U ovom hotelu odsedamo vec 3 god.
Kad god smo u Bg-u,odsedamo tamo.
Prvo smo preko booking-a dobili upgrade za apartman po ceni sobe.Samo sat vremena kasnije stize poruka da cemo ipak biti u sobi iz tehnickih razloga🤨.
Soba u kojoj smo bili smesteni je kao i sve ostale sobe u hotelu,ali kupatilo je katastrofalno.
Budj u tus kabini,na plocicama…bas,bas grozno.Lampa ne radi jer nema sijalicu,daljinski sam nosila na recepciju da mi zamene baterije.
Da ne komentarisem proslave koje se organizuju svakog vikenda pa nemas mesta za parkiranje,a muzika ispod tebe bije do ponoci,tako da ako ste za vikend krenuli da slucajno odmorite,preskocite ovaj hotel.",neutralan,lokacija hotel odlican restoran sklop hotel dobar ovaj hotel odsedati god kad god bguodsedati tamo prvo booking upgrada apartman cena sobesati sat vreme kasno stizak poruka ipak soba tehnicki razlog soba smestiti kao sav ostali soba hoteluati kupatilo katastrofalan budj tus kabinina plocicamabasbas groznolampe raditi nemati sijalicudaljinski nositi recepcija zameniti baterija komentariti proslava organizovati svaki vikend nemati mesto parkiranje muzika ispod bija do ponocitako vikend krenuti slucajno odmoritepreski ovaj hotel
Udoban ležaj. Ukusan doručak,"Ušla sam u hladnu sobu, a devojka koja mi je dala ključ nije me uputila da se grejanje podešava rucno , jer bi videla da je je grejanje bilo podeseno na ""general"" i da nije postojala mogucnost da isto sama podesim. Posle sat vremena kada sam primetila da je soba i dalje hladna , morala sam da odem do kafica posto se niko nije javljao na recepciji. Naknadnim podesavanjem grejanja soba je konačno postala prijatna za boravak. WC šolja je bila prljava iako je imala traku da je čista.
Doručak sam čekala preko 15 minuta iako sam bila sama i kaficu. Nemate jednokratne papuce za sobu.",5,"Udoban ležaj. Ukusan doručak Ušla sam u hladnu sobu, a devojka koja mi je dala ključ nije me uputila da se grejanje podešava rucno , jer bi videla da je je grejanje bilo podeseno na ""general"" i da nije postojala mogucnost da isto sama podesim. Posle sat vremena kada sam primetila da je soba i dalje hladna , morala sam da odem do kafica posto se niko nije javljao na recepciji. Naknadnim podesavanjem grejanja soba je konačno postala prijatna za boravak. WC šolja je bila prljava iako je imala traku da je čista.
Doručak sam čekala preko 15 minuta iako sam bila sama i kaficu. Nemate jednokratne papuce za sobu.",neutralan,udoban ležaj ukusan doručak ući hladan soba devojka dati ključ uputiti grejanje podešavati rucno videti grejanje podestiti general postojati mogucnost isto podesiti posle sat vreme primetiti soba daleko hladan morati otiti do kafica posto javljati recepcija naknadan podesavanje grejanje soba konačno postati prijatan boravak wc šolja prljav imati traka čist doručak čekati minuta kafica nemati jednokratan papuca soba
"Jako lep koncept, bašta, atmosfera među ljudima koji su tu. Zaposleni su prijatni. Dobar enterijer, dobra lokacija.","U zamrzivacu nije bilo ni leda, stan je generalno bio loše očišćen, dosta svetala nije radilo ili su trepetale na izmaku.

Zavese u dnevnoj imaju velike rupe u sebi, sa ulaza smo videli ostatke proslih gostiju po podovima.

Cena (koja je klasična za tržište i lokaciju koju nudi) mora da pokrije da apartman bude očuvan i čist.",5,"Jako lep koncept, bašta, atmosfera među ljudima koji su tu. Zaposleni su prijatni. Dobar enterijer, dobra lokacija. U zamrzivacu nije bilo ni leda, stan je generalno bio loše očišćen, dosta svetala nije radilo ili su trepetale na izmaku.

Zavese u dnevnoj imaju velike rupe u sebi, sa ulaza smo videli ostatke proslih gostiju po podovima.

Cena (koja je klasična za tržište i lokaciju koju nudi) mora da pokrije da apartman bude očuvan i čist.",neutralan,jako lep koncept bašta atmosfera među čovek zaposlen prijatan dobar enterijer dobar lokacija zamrzivac led stan generalno loše očisiti dosta svetal raditi trepetati izmak zavesa dnevni imati velik rupa ulaz videti ostatka prosli gost cena klasičan tržište lokacija nuditi morati pokriti apartman očuvati čist
,"Osoblje je ljubazno. Lokacija ok. Apartman je veoma prostran, ali mu nedostaje krecenje i ciscenje garniture za sedenje. U jednoj sobi nema grejanja i nemoguce je da sve svi istursiraju odjednom, jer nema dovoljno tople vode.",5," Osoblje je ljubazno. Lokacija ok. Apartman je veoma prostran, ali mu nedostaje krecenje i ciscenje garniture za sedenje. U jednoj sobi nema grejanja i nemoguce je da sve svi istursiraju odjednom, jer nema dovoljno tople vode.",neutralan,osoblje ljubazan lokacija ok apartman veoma prostran nedostajati krecenje ciscenje garnitura sedenje soba nemati grejanje nemoguce sav sav istursirati odjedan nemati dovoljno topao voda
,U apartmanu ima dosta vlage. Radijatori gotovo da nisu grijali. U jednoj prostoriji je klima uređaj pomoću kojeg se ista mogla ugrijati. Međutim. u ostalim prostorijama to nije bio slučaj. Toplu vodu na umivaoniku (ponekad i na tušu) nije uvijek moguće dobiti.,4, U apartmanu ima dosta vlage. Radijatori gotovo da nisu grijali. U jednoj prostoriji je klima uređaj pomoću kojeg se ista mogla ugrijati. Međutim. u ostalim prostorijama to nije bio slučaj. Toplu vodu na umivaoniku (ponekad i na tušu) nije uvijek moguće dobiti.,neutralan,apartman imati dosta vlaga radijator gotovo grijati prostorija klima uređaj pomoću isti moći ugrijati međutim ostali prostorija slučaj topao voda umivaonik ponekad tuš uvijek moguć
"Samo lokacija, lakoca pronalazenja, fina okolina i ulica u kojoj se objekat nalazi, zgrada podnosljivog kvaliteta, lakoca manipulacije sa kljucevima","parking jako komplikovan, cistoca na ne bas zavidnom nivou, kupatilo pohabano, uticnica za klimu polomljena i nemoguce je ukljuciti. Lavabo zapusen i zadrzava vodu, WC solja jako niska, daska rasklimatana",4,"Samo lokacija, lakoca pronalazenja, fina okolina i ulica u kojoj se objekat nalazi, zgrada podnosljivog kvaliteta, lakoca manipulacije sa kljucevima parking jako komplikovan, cistoca na ne bas zavidnom nivou, kupatilo pohabano, uticnica za klimu polomljena i nemoguce je ukljuciti. Lavabo zapusen i zadrzava vodu, WC solja jako niska, daska rasklimatana",neutralan,lokacija lakoc pronalazenje fin okolina ulica objekat nalaziti zgrada podnosljiv kvalitet lakoc manipulacija kljucevo parking jako komplikovan cistoc bas zavidan nivo kupatilo pohabati uticnica klima polomljen nemoguce ukljuciti lavabo zapustiti zadrzavati voda wc sobjati jako nizak daska rasklimatan
