positive,negative,rating,comments
Osoblje hotela je sjajno i tu da pomogne gostu za sve. Pohvala posebno za divnu Anju.,/,9,Osoblje hotela je sjajno i tu da pomogne gostu za sve. Pohvala posebno za divnu Anju. /
Osoblje je bilo izuzetno ljubazno,Soba je mirisala na dim cigareta iako je pušenje zabranjeno u svim sobama,8,Osoblje je bilo izuzetno ljubazno Soba je mirisala na dim cigareta iako je pušenje zabranjeno u svim sobama
Doručak nismo koristili .Lokacija odlična .,Jastuci,8,Doručak nismo koristili .Lokacija odlična . Jastuci
"Izuzetna lokacija u samom starom centru. Na 5 min od Kalemegdana ili Trga. Bez saobraćaja i bez bučnih kafića. Tiho mesto. Doručak raznovrsna i ukusan. Sobe renovirane i čiste. Kupatilo čisto i prostrane tuš-kabine.za svaku preporuku. Nema veze sa pojedinim lošim komentarima koje sam čitao od strane nekih stranih turista,šta više bolji je smeštaj nego neki hoteli istog ranga u Beč ili Pragu koji su me razočarali. Vodjen tim komentarima tražio sam navedene mane ali ih na sreću nism našao.",Nema parking a javna garaža u Rajićevoj nema dnevnu kartu. Parking za 24h je skuplji nego ručak u Sadarliji za nas četvoro.,9,"Izuzetna lokacija u samom starom centru. Na 5 min od Kalemegdana ili Trga. Bez saobraćaja i bez bučnih kafića. Tiho mesto. Doručak raznovrsna i ukusan. Sobe renovirane i čiste. Kupatilo čisto i prostrane tuš-kabine.za svaku preporuku. Nema veze sa pojedinim lošim komentarima koje sam čitao od strane nekih stranih turista,šta više bolji je smeštaj nego neki hoteli istog ranga u Beč ili Pragu koji su me razočarali. Vodjen tim komentarima tražio sam navedene mane ali ih na sreću nism našao. Nema parking a javna garaža u Rajićevoj nema dnevnu kartu. Parking za 24h je skuplji nego ručak u Sadarliji za nas četvoro."
"‚lokacija odlična 
doručak nismo koristili",jastuci i peškiri,8,"‚lokacija odlična 
doručak nismo koristili jastuci i peškiri"
"Lokacija, odlično.",,8,"Lokacija, odlično. "
Objekat je u samom centru grada. Osoblje je jako ljubazno. Soba je prostrana,"Trebalo da da postoji opcija da se obezbijedi parking, tj, da postoji opcija da se plati parking.",10,"Objekat je u samom centru grada. Osoblje je jako ljubazno. Soba je prostrana Trebalo da da postoji opcija da se obezbijedi parking, tj, da postoji opcija da se plati parking."
"Čisto, ljubazno osoblje sa recepcije -bilo za pitanje telefonom, bilo za rezervisanje taxi vozila. Toplo, klima je odlična. Lokacija top top!",Nema,10,"Čisto, ljubazno osoblje sa recepcije -bilo za pitanje telefonom, bilo za rezervisanje taxi vozila. Toplo, klima je odlična. Lokacija top top! Nema"
"Udoban i velik krevet,dobar doručak, ljubazno osoblje, odlična  lokacija",,10,"Udoban i velik krevet,dobar doručak, ljubazno osoblje, odlična  lokacija "
"Lokacija, ljubazno osoblje, prijatan ambijent.",,10,"Lokacija, ljubazno osoblje, prijatan ambijent. "
"Sve je čisto,lokacija je savršena u samom centru Bg.Sve pohvale.",,10,"Sve je čisto,lokacija je savršena u samom centru Bg.Sve pohvale. "
Lokacija,Izuzetno tesko pronaci parking za auto,10,Lokacija Izuzetno tesko pronaci parking za auto
"Ljubazno osoblje, ciste sobe,  ukusan dorucak.",,10,"Ljubazno osoblje, ciste sobe,  ukusan dorucak. "
Veoma ljubazno osoblje,,10,Veoma ljubazno osoblje 
Prezadovoljna sam. Hotel se nalazi na izuzetnoj lokaciji. Sobe su veoma ciste a osoblje hotela je jako ljubazno. Sve pohvale.,,10,Prezadovoljna sam. Hotel se nalazi na izuzetnoj lokaciji. Sobe su veoma ciste a osoblje hotela je jako ljubazno. Sve pohvale. 
"Hotel na odlicnoj lokaciji,na domak Knez Mihajlove,svih desavanja,ali u mirnoj ulici.
Soba je  jako cista i konforna i osoblje veoma ljubazno,dorucak izvanredan 😍",,10,"Hotel na odlicnoj lokaciji,na domak Knez Mihajlove,svih desavanja,ali u mirnoj ulici.
Soba je  jako cista i konforna i osoblje veoma ljubazno,dorucak izvanredan 😍 "
"lokacija,osoblje,higijena",,10,"lokacija,osoblje,higijena "
"Fantasican hotel u srcu Beograda, sve je na dohbat ruke, peske.",,10,"Fantasican hotel u srcu Beograda, sve je na dohbat ruke, peske. "
"Dorucak, lokacija, ljubazno i predusetljivo osoblje",,10,"Dorucak, lokacija, ljubazno i predusetljivo osoblje "
"Odlična usluga hotela. Pored fenomenalne lokacije, čistoće i organizovanosti,  posebne pohvale za ljubaznost i ažurnost osoblja. Sve pohvale za ovaj objekat! 😊",,10,"Odlična usluga hotela. Pored fenomenalne lokacije, čistoće i organizovanosti,  posebne pohvale za ljubaznost i ažurnost osoblja. Sve pohvale za ovaj objekat! 😊 "
"Lokacija odlicna u mirnoj ulici,a na par koraka od setacke zone,pune desavanja.Mirno je,sem uvece ako otvorite prozor,cuje se zagor i muzika iz obliznjih kafica.
Sobe  prostrane,veoma ciste,tepisi cisti, mirisu na novo..Krevrti i jastuci udobni..Osoblje   je veoma ljubazno,spremni uvek da pomognu i budiu na usluzi.Sredjivanje sobe je svakodnevno ,zamena peskira i posteljine.
Dopao mi se sadrzaj mini bara i besplatna nespreso kafa.","Dorucak je dobar,ali bi mogli da prosire sadrzaj .",10,"Lokacija odlicna u mirnoj ulici,a na par koraka od setacke zone,pune desavanja.Mirno je,sem uvece ako otvorite prozor,cuje se zagor i muzika iz obliznjih kafica.
Sobe  prostrane,veoma ciste,tepisi cisti, mirisu na novo..Krevrti i jastuci udobni..Osoblje   je veoma ljubazno,spremni uvek da pomognu i budiu na usluzi.Sredjivanje sobe je svakodnevno ,zamena peskira i posteljine.
Dopao mi se sadrzaj mini bara i besplatna nespreso kafa. Dorucak je dobar,ali bi mogli da prosire sadrzaj ."
Локација.,Доручак.,10,Локација. Доручак.
"Lokacija,udobnost ,izuzetnno dobar odnos  osoblja prema gostima","Malo peškira ,pojedini delovi sobe i kupatila  nisu bili čisti",4,"Lokacija,udobnost ,izuzetnno dobar odnos  osoblja prema gostima Malo peškira ,pojedini delovi sobe i kupatila  nisu bili čisti"
sve je ok,sve je ok,10,sve je ok sve je ok
"Hotel je pozicioniran u centru grada, sve je vrlo blizu, u pešačkoj zoni. Ono što bih posebno izdvojila je što nije bučno, vrlo mirno, idealno. Sobe su prostrane i komforne. Doručak je na bazi švedskog stola, a tematski je zasnovan na turskoj kuhinji. Upravo tako se i zove ""Kuhinja"". Sve preporuke! Osoblje je zaista divno.",Ne postoji nešto što bih izdvojila. 😊,10,"Hotel je pozicioniran u centru grada, sve je vrlo blizu, u pešačkoj zoni. Ono što bih posebno izdvojila je što nije bučno, vrlo mirno, idealno. Sobe su prostrane i komforne. Doručak je na bazi švedskog stola, a tematski je zasnovan na turskoj kuhinji. Upravo tako se i zove ""Kuhinja"". Sve preporuke! Osoblje je zaista divno. Ne postoji nešto što bih izdvojila. 😊"
Lokacija i skladne sobe,,10,Lokacija i skladne sobe 
"kako lokacija samog hotela,tako i dorucak je bio perfektan",sve je bilo extra,10,"kako lokacija samog hotela,tako i dorucak je bio perfektan sve je bilo extra"
"Lokacija perfektna, krevet preudoban..",Cistoca na jako losem nivou!,1,"Lokacija perfektna, krevet preudoban.. Cistoca na jako losem nivou!"
"Odlicna lokacija, cisto, ljubazno osoblje, preobilan dorucak. WI-FI isto odlican, sobe ciste i ukusno uredjene. Uvece mogucnost za veceru u lepom restoranu, hrana preukusna, usluga odlicna, muzika prelepa.",,10,"Odlicna lokacija, cisto, ljubazno osoblje, preobilan dorucak. WI-FI isto odlican, sobe ciste i ukusno uredjene. Uvece mogucnost za veceru u lepom restoranu, hrana preukusna, usluga odlicna, muzika prelepa. "
"Jako Lijep hotel .
Parking 
Sobe prostrane i lijepo sređene.",,10,"Jako Lijep hotel .
Parking 
Sobe prostrane i lijepo sređene. "
"Dopala mi se ljubaznost zaposlenih ,kako na recepciji tako i u restoranu.",,10,"Dopala mi se ljubaznost zaposlenih ,kako na recepciji tako i u restoranu. "
"Izuzetno ljubazno i predusretljivo osoblje. Na recepciji, a i u restoranu.
Odličan doručak.
Soba čista i uredna.","Prilikom ulaska u sobu, a usli smo oko 19h  osetio se miris spremanja hrane. 

Kako se ispod soba nalazi restoran  koji radi inače nevezano za goste hotela znao sam da je zbog toga.

Počelo da miriše kada je uključeno grejanje.

Trebalo bi da se pozabave time. Nama nije zasmetalo, ali će biti onih kojima će smetati.

Naravno kasnije se taj miris nije osetio.",10,"Izuzetno ljubazno i predusretljivo osoblje. Na recepciji, a i u restoranu.
Odličan doručak.
Soba čista i uredna. Prilikom ulaska u sobu, a usli smo oko 19h  osetio se miris spremanja hrane. 

Kako se ispod soba nalazi restoran  koji radi inače nevezano za goste hotela znao sam da je zbog toga.

Počelo da miriše kada je uključeno grejanje.

Trebalo bi da se pozabave time. Nama nije zasmetalo, ali će biti onih kojima će smetati.

Naravno kasnije se taj miris nije osetio."
Ljubazno osoblje.Vrhunski restoran u sklopu hotela.,,10,Ljubazno osoblje.Vrhunski restoran u sklopu hotela. 
"Odlična lokacija, prelijep enterijer, higijena na vrhunskom nivou, osoblje ljubazno, recepcionerka maskimalno ljubazna, hrana preukusna, parking odličan. Cijena savršeno odgovara kvalitetu i sigurno ćemo opet biti gosti. Topla preporuka.",,10,"Odlična lokacija, prelijep enterijer, higijena na vrhunskom nivou, osoblje ljubazno, recepcionerka maskimalno ljubazna, hrana preukusna, parking odličan. Cijena savršeno odgovara kvalitetu i sigurno ćemo opet biti gosti. Topla preporuka. "
"Super hotel,restoran,lokacija,parking...osoblje...sve super",,10,"Super hotel,restoran,lokacija,parking...osoblje...sve super "
"Udobno, čisto, prijatan ambijent. Ljubazno osoblje. Sve preporuke.",,10,"Udobno, čisto, prijatan ambijent. Ljubazno osoblje. Sve preporuke. "
"10/10
Veoma ljubazno osoblje!",,10,"10/10
Veoma ljubazno osoblje! "
"Fantastičan doručak. 
Vrlo ljubazno osoblje. 
Higijena vrhunska! 
Obezbeđen parking.",,10,"Fantastičan doručak. 
Vrlo ljubazno osoblje. 
Higijena vrhunska! 
Obezbeđen parking. "
"Hotel je na super lokaciji, sobe su jako lepe, moderno opremljene.
Kreveti udobni, mirno je i tiho, raj za odmor. U sobi je zaista sve što Vam je potrebno, domaćini su mislili na svaki detalj. Osoblje je preljubazno. Restoran je fenomenalan.","Voda za tuširanje je bila mlaka, oba dana, nadam se da inače nije tako. Nameštaj i tepih u dnevnoj sobi zahtevaju dubinsko čišćenje.",9,"Hotel je na super lokaciji, sobe su jako lepe, moderno opremljene.
Kreveti udobni, mirno je i tiho, raj za odmor. U sobi je zaista sve što Vam je potrebno, domaćini su mislili na svaki detalj. Osoblje je preljubazno. Restoran je fenomenalan. Voda za tuširanje je bila mlaka, oba dana, nadam se da inače nije tako. Nameštaj i tepih u dnevnoj sobi zahtevaju dubinsko čišćenje."
"Sve je savršeno, čisto, udobno, urrđeno sa ukusom, odlično. Osoblje je za čistu 10-ku, ljubazni, nasmijani, duhoviti.",,10,"Sve je savršeno, čisto, udobno, urrđeno sa ukusom, odlično. Osoblje je za čistu 10-ku, ljubazni, nasmijani, duhoviti. "
"Ljubazno osoblje, odlican dorucak, cisto i uredno.
Hotel za svaku preporuku.
Doci cemo ponovo.",,10,"Ljubazno osoblje, odlican dorucak, cisto i uredno.
Hotel za svaku preporuku.
Doci cemo ponovo. "
"Odlično i bez ikakve mane: smeštaj, doručak, osoblje...sve pohvale!",,10,"Odlično i bez ikakve mane: smeštaj, doručak, osoblje...sve pohvale! "
Sobe su prostrane i čiste. Parking je bio obezbeđen.Preporuka,,10,Sobe su prostrane i čiste. Parking je bio obezbeđen.Preporuka 
"Odlicna lokacija, ugodan ambijent,  restoran odličan uz ugodno osoblje!",organizacija na parkingu je kaoticna,9,"Odlicna lokacija, ugodan ambijent,  restoran odličan uz ugodno osoblje! organizacija na parkingu je kaoticna"
"sve ok, kao i uvek.",,10,"sve ok, kao i uvek. "
"Sve je super,cisto i osoblje na zavidnom nivou....",Fali cebe ili step deka za pokrivanje...,10,"Sve je super,cisto i osoblje na zavidnom nivou.... Fali cebe ili step deka za pokrivanje..."
"Apsolutno fantastican hotel i restoran. Lokacija odlicna, veliki parking,perfektno cisto svuda! Nije imalo sobe pa mi je gospoda za istu cenu dala apartman! Svaka cast! Dorucak fenomenalan! Toplo, cisto, mirise.
Uvek cu odsedati u ovom hotelu!",Jedan od retkih hotela gde nemam ni jednu zamerku,10,"Apsolutno fantastican hotel i restoran. Lokacija odlicna, veliki parking,perfektno cisto svuda! Nije imalo sobe pa mi je gospoda za istu cenu dala apartman! Svaka cast! Dorucak fenomenalan! Toplo, cisto, mirise.
Uvek cu odsedati u ovom hotelu! Jedan od retkih hotela gde nemam ni jednu zamerku"
"Izuzetno lepo, udobno i čisto. Hrana odlična i osoblje veoma ljubazno. Sve pohvale",,10,"Izuzetno lepo, udobno i čisto. Hrana odlična i osoblje veoma ljubazno. Sve pohvale "
Odličan odnos cene i kvaliteta. Sve je bilo i bolje nego očekivano,,10,Odličan odnos cene i kvaliteta. Sve je bilo i bolje nego očekivano 
"Odlicna lokacija, obezbedjen besplatni parking u delu grada gde ga je nemoguce naci. Soba prostrana. Hotel jako lep, restoran i dorucak odlicni! Preporuka!",,10,"Odlicna lokacija, obezbedjen besplatni parking u delu grada gde ga je nemoguce naci. Soba prostrana. Hotel jako lep, restoran i dorucak odlicni! Preporuka! "
"Sve je na vrhunskom nivou. Objekat, osoblje,SVE!  Svima bih preporucila ovaj hotel, i od sada, i ja cu  se uvek vracati.",,10,"Sve je na vrhunskom nivou. Objekat, osoblje,SVE!  Svima bih preporucila ovaj hotel, i od sada, i ja cu  se uvek vracati. "
Objekat,Muzika iz restorana,9,Objekat Muzika iz restorana
"Čistoća, ljubazna usluga, doručak i jela sa jelovnika.",,10,"Čistoća, ljubazna usluga, doručak i jela sa jelovnika. "
"Lokacije je odlicna, osoblje preljubazno, sobe komforne",Sve je odlicno,10,"Lokacije je odlicna, osoblje preljubazno, sobe komforne Sve je odlicno"
"Hotel je prelep, lepši je nego na slikama, parking free, osoblje u kompletu preljubazno ali moram posebno da pohvalim ženu koja je zadužena za čistoću hotela, sa kratkom plavom kosom kao i cure na recepciji. Svaka čast! Vidimo se uskoro..",Sve je bilo u najboljem redu.,10,"Hotel je prelep, lepši je nego na slikama, parking free, osoblje u kompletu preljubazno ali moram posebno da pohvalim ženu koja je zadužena za čistoću hotela, sa kratkom plavom kosom kao i cure na recepciji. Svaka čast! Vidimo se uskoro.. Sve je bilo u najboljem redu."
Sve je odlično u ovom hotelu.,,8,Sve je odlično u ovom hotelu. 
"Velicina sobe, cisto kupatilo, rad recepcije 0-24h",A la carte dorucak,9,"Velicina sobe, cisto kupatilo, rad recepcije 0-24h A la carte dorucak"
"Restran, soba, čistoća. Usluga perfektna.",Kartica za sobu nije radila. I isključena je u 10:45 što nije ok.,8,"Restran, soba, čistoća. Usluga perfektna. Kartica za sobu nije radila. I isključena je u 10:45 što nije ok."
"Sve je bilo izuzetno,od ljubaznoscu radnica na recepciji,restoranu,cistoce hotela i ukusne hrane",,10,"Sve je bilo izuzetno,od ljubaznoscu radnica na recepciji,restoranu,cistoce hotela i ukusne hrane "
"Hotel je lep, cist osoblje ljubazno",Nema papuca u sobi,8,"Hotel je lep, cist osoblje ljubazno Nema papuca u sobi"
"Parking,odlican restoran,cisto i udobno...",Sve je bilo super,10,"Parking,odlican restoran,cisto i udobno... Sve je bilo super"
Sve je super.,-----------,10,Sve je super. -----------
"Sobe, restoran,cistoca,osoblje,konobari",,10,"Sobe, restoran,cistoca,osoblje,konobari "
"To što restoran ima i vrlo lijep vanjski dio, gdje smo mogli i doručkovati.",Nemam posebnih zamjerki za smještaj.,10,"To što restoran ima i vrlo lijep vanjski dio, gdje smo mogli i doručkovati. Nemam posebnih zamjerki za smještaj."
"Restoran i osoblje restorana, hrana, sve je na zavidnom nivou. Svaka preporuka.
Sobe su nove i komforne. Sve je čisto.",Osoblje na recepciji treba bude profesionalnije i uslužnije.,8,"Restoran i osoblje restorana, hrana, sve je na zavidnom nivou. Svaka preporuka.
Sobe su nove i komforne. Sve je čisto. Osoblje na recepciji treba bude profesionalnije i uslužnije."
Soba je čista i kreveti su udobni.,Velika gužva na parkingu u popodnevnim satima zbog restorana hotela.,9,Soba je čista i kreveti su udobni. Velika gužva na parkingu u popodnevnim satima zbog restorana hotela.
"Dorucek, odlicen i obilen
Lokacija, odlicna
Personal, gostoprimliv,ljubezen,perfektno usluzliv!!!","Po zavrsetok na proslavi ( svadbi ) so sreduvanjeto vo restoranot , se pravi bucava so vlecenje na masite po podot i ne moze da se zaspie,bi trebalo da ne gi vlecat nego da gi digaat.",9,"Dorucek, odlicen i obilen
Lokacija, odlicna
Personal, gostoprimliv,ljubezen,perfektno usluzliv!!! Po zavrsetok na proslavi ( svadbi ) so sreduvanjeto vo restoranot , se pravi bucava so vlecenje na masite po podot i ne moze da se zaspie,bi trebalo da ne gi vlecat nego da gi digaat."
"Prijatane sobe,ambijent dobar.","Parking za vikend je nocna mora.
Gosti restorana zauzmu parking i sile nema da se negde parkiras.
Ako budemo prestali da dolazimo bice samo zbog toga.",8,"Prijatane sobe,ambijent dobar. Parking za vikend je nocna mora.
Gosti restorana zauzmu parking i sile nema da se negde parkiras.
Ako budemo prestali da dolazimo bice samo zbog toga."
"Ljubazno osoblje, komforna čista soba, odličan doručak u prijatnom ambijentu, besplatan parking, sve pohvale",,10,"Ljubazno osoblje, komforna čista soba, odličan doručak u prijatnom ambijentu, besplatan parking, sve pohvale "
"Konobar Gliša, čista 10ka i više od toga",Recepcionerka,8,"Konobar Gliša, čista 10ka i više od toga Recepcionerka"
"Osličan smeštaj, i jako prijatno i uslužno osoblje. Moje preporuke....",,10,"Osličan smeštaj, i jako prijatno i uslužno osoblje. Moje preporuke.... "
,"Nije bilo tople vode ni uveče a ni ujutru. Rekao bih i da su smanjeni normativi kada je doručak u pitanju.
Sve to se naravno nije odrazilo na cenu u znak razumevanja.",4," Nije bilo tople vode ni uveče a ni ujutru. Rekao bih i da su smanjeni normativi kada je doručak u pitanju.
Sve to se naravno nije odrazilo na cenu u znak razumevanja."
Uredno,"U prizemlju je sala za proslave.Nenormalna buka ,za odmoriti se i naspavati vikendom tesko.",3,"Uredno U prizemlju je sala za proslave.Nenormalna buka ,za odmoriti se i naspavati vikendom tesko."
Higijena i dorucak su dobri.,"Ispod sobe u kojoj sam boravila nalazi se uredjaj od ventilacije kuhinje koji je neprestano brujao i po danu i po noci. Obavjestila sam recepciju i rekli su da ce noću da ugase ali nisu ni jednu od 3 noći koje sam provela. Uglavnom cu pamtiti boravak po neprospavanim noćima.
Hotel ima dosta prednosti ali ovakvi propusti nisu korektni za novac koji sam platila.",5,"Higijena i dorucak su dobri. Ispod sobe u kojoj sam boravila nalazi se uredjaj od ventilacije kuhinje koji je neprestano brujao i po danu i po noci. Obavjestila sam recepciju i rekli su da ce noću da ugase ali nisu ni jednu od 3 noći koje sam provela. Uglavnom cu pamtiti boravak po neprospavanim noćima.
Hotel ima dosta prednosti ali ovakvi propusti nisu korektni za novac koji sam platila."
"Lokacija hotela je odlicna.
Restoran u sklopu hotela je dobar.","U ovom hotelu odsedamo vec 3 god.
Kad god smo u Bg-u,odsedamo tamo.
Prvo smo preko booking-a dobili upgrade za apartman po ceni sobe.Samo sat vremena kasnije stize poruka da cemo ipak biti u sobi iz tehnickih razloga🤨.
Soba u kojoj smo bili smesteni je kao i sve ostale sobe u hotelu,ali kupatilo je katastrofalno.
Budj u tus kabini,na plocicama…bas,bas grozno.Lampa ne radi jer nema sijalicu,daljinski sam nosila na recepciju da mi zamene baterije.
Da ne komentarisem proslave koje se organizuju svakog vikenda pa nemas mesta za parkiranje,a muzika ispod tebe bije do ponoci,tako da ako ste za vikend krenuli da slucajno odmorite,preskocite ovaj hotel.",6,"Lokacija hotela je odlicna.
Restoran u sklopu hotela je dobar. U ovom hotelu odsedamo vec 3 god.
Kad god smo u Bg-u,odsedamo tamo.
Prvo smo preko booking-a dobili upgrade za apartman po ceni sobe.Samo sat vremena kasnije stize poruka da cemo ipak biti u sobi iz tehnickih razloga🤨.
Soba u kojoj smo bili smesteni je kao i sve ostale sobe u hotelu,ali kupatilo je katastrofalno.
Budj u tus kabini,na plocicama…bas,bas grozno.Lampa ne radi jer nema sijalicu,daljinski sam nosila na recepciju da mi zamene baterije.
Da ne komentarisem proslave koje se organizuju svakog vikenda pa nemas mesta za parkiranje,a muzika ispod tebe bije do ponoci,tako da ako ste za vikend krenuli da slucajno odmorite,preskocite ovaj hotel."
"Lokacija . Ambijent, parking.",Dorucak je siromasan . Oskudan,7,"Lokacija . Ambijent, parking. Dorucak je siromasan . Oskudan"
osoblje ljubazno,"cela soba oseća na farbu, smrdi wc, jedan peškir je prljav čak još mokar. hteli smo da promenimo sobu ali nažalost je hotel pun, odjavili smo se u 1 ujutro jer ne mogu zaspati zbog neprijatnog mirisa farbe.",2,"osoblje ljubazno cela soba oseća na farbu, smrdi wc, jedan peškir je prljav čak još mokar. hteli smo da promenimo sobu ali nažalost je hotel pun, odjavili smo se u 1 ujutro jer ne mogu zaspati zbog neprijatnog mirisa farbe."
"Restoran prelep,parking.Putujem dosta al takve konobare ljubazne,profesionalne nisam srela Sve pohvake",,10,"Restoran prelep,parking.Putujem dosta al takve konobare ljubazne,profesionalne nisam srela Sve pohvake "
Osoblje koje je ljubazno i trudi se da popravi situaciju.,Nije bilo tople vode za kupanje,8,Osoblje koje je ljubazno i trudi se da popravi situaciju. Nije bilo tople vode za kupanje
"Hotel je u samom centru. Osoblje ljubazno i profesionalno. Parking je u blizini hotela (ovaj put nisam koristio, ali sada znam za ubuduće).",,10,"Hotel je u samom centru. Osoblje ljubazno i profesionalno. Parking je u blizini hotela (ovaj put nisam koristio, ali sada znam za ubuduće). "
Zaposlenici,,8,Zaposlenici 
"Predivan hotel u samom centru Beograda, predivna zgrada. Izuzetno ljubazno osoblje, pohvala za celu recepciju noc 31.2023/01.2024. Sobe konforne, ciste, sa prwdivn8m pogledom na trg. Udobnost, mogucnost regulacije temperature, podno krejanje u predivnom, prostranom kupatilu...sve pohvale...rado cu preporuciti👌😍",,10,"Predivan hotel u samom centru Beograda, predivna zgrada. Izuzetno ljubazno osoblje, pohvala za celu recepciju noc 31.2023/01.2024. Sobe konforne, ciste, sa prwdivn8m pogledom na trg. Udobnost, mogucnost regulacije temperature, podno krejanje u predivnom, prostranom kupatilu...sve pohvale...rado cu preporuciti👌😍 "
Lokacija je najbolja u Beogradu definitivno,,10,Lokacija je najbolja u Beogradu definitivno 
"Dorucak odlican,posebno bih naglasio da je objekat izuzetno cist i uredan.",Blizina parkinga.,8,"Dorucak odlican,posebno bih naglasio da je objekat izuzetno cist i uredan. Blizina parkinga."
Sve mi se dopalo.,-,10,Sve mi se dopalo. -
"Uredno, tiho, cisto. Lokacija fantasticna.",,9,"Uredno, tiho, cisto. Lokacija fantasticna. "
Lokacija sami centar,,10,Lokacija sami centar 
"Veoma ljubazno osoblje, sve je veoma cisto i uredno, soba prostrana, izuzetan pogled na trg, a u sobi se ne cuje buka i guzva koja je napolju.","Veoma je bitno da hotel na takvom mestu i sa takvom uslugom nema parking za goste hotela, nego su primorani da se sami snalaze, sto je posebno tesko 31.12.",10,"Veoma ljubazno osoblje, sve je veoma cisto i uredno, soba prostrana, izuzetan pogled na trg, a u sobi se ne cuje buka i guzva koja je napolju. Veoma je bitno da hotel na takvom mestu i sa takvom uslugom nema parking za goste hotela, nego su primorani da se sami snalaze, sto je posebno tesko 31.12."
Sve je bilo savršeno.Usluga odlična sobe uredne.Sve pohvale!!,,10,Sve je bilo savršeno.Usluga odlična sobe uredne.Sve pohvale!! 
jako dobar miran polozaj hotela. veoma ljubazan personal koji se trudi da vam ispuni svaku želju. U restoranu prave fantastične Pize,"Hotel je došao u godine i bila bi mu potrebna renovacija. Bazen je pogotovo vikendom prebukiran zbog gostiju koji dolaze sa strane. 
Doručak je malo monoton, fali varijacija. Šteta sto je doručak samo do 9 sati i sto bar i restoran rade samo do 18 sati.",9,"jako dobar miran polozaj hotela. veoma ljubazan personal koji se trudi da vam ispuni svaku želju. U restoranu prave fantastične Pize Hotel je došao u godine i bila bi mu potrebna renovacija. Bazen je pogotovo vikendom prebukiran zbog gostiju koji dolaze sa strane. 
Doručak je malo monoton, fali varijacija. Šteta sto je doručak samo do 9 sati i sto bar i restoran rade samo do 18 sati."
Terasa i prelep pogled sa terase. Osoblje preljubazno😊,,9,Terasa i prelep pogled sa terase. Osoblje preljubazno😊 
"Pogled iz sobe na Niš oduševljava, sobe su prostrane. Kreveti su udobni, osoblje prijatno. Doručak standardan, sasvim dovoljan da se osoba najede.",Brave u apartmanu ( na vratima od kupatila i spavaće sobe) su pokvarene i vrata ne mogu da se zatvore.,9,"Pogled iz sobe na Niš oduševljava, sobe su prostrane. Kreveti su udobni, osoblje prijatno. Doručak standardan, sasvim dovoljan da se osoba najede. Brave u apartmanu ( na vratima od kupatila i spavaće sobe) su pokvarene i vrata ne mogu da se zatvore."
"Sobe ciste. Voda u bazenu cista, dorucak fenomenalan, raznovrsan, lokacija super, pogled fantastican. Pice u restoranu bas ukusne, osoblje i vlasnici ljubazni i druzeljubivi","Samo sto je bila privatna zurka dok smo boravili u hotelu, pa je bilo malo glasnije.",8,"Sobe ciste. Voda u bazenu cista, dorucak fenomenalan, raznovrsan, lokacija super, pogled fantastican. Pice u restoranu bas ukusne, osoblje i vlasnici ljubazni i druzeljubivi Samo sto je bila privatna zurka dok smo boravili u hotelu, pa je bilo malo glasnije."
"мир, тишина, особље",узбрдица🤣,8,"мир, тишина, особље узбрдица🤣"
Lokacija,Zajednička rerasa i loš tuš,8,Lokacija Zajednička rerasa i loš tuš
Komfor,Kupatilo,7,Komfor Kupatilo
"Локација коректна, љубазно особље, смештај, доручак, базен - све је одлично. Препорука!",Пут до хотела.,9,"Локација коректна, љубазно особље, смештај, доручак, базен - све је одлично. Препорука! Пут до хотела."
Sve je ok bilo,,10,Sve je ok bilo 
Predusretljivo osoblje,,10,Predusretljivo osoblje 
"Doručak je odličan, bilo je svega za svačiji ukus. Osoblje jako ljubazno. Fenomenalna pizza u baru pored bazena. Bazen osoblje čisti svakodnevno, besprekorno je sve.",,10,"Doručak je odličan, bilo je svega za svačiji ukus. Osoblje jako ljubazno. Fenomenalna pizza u baru pored bazena. Bazen osoblje čisti svakodnevno, besprekorno je sve. "
Osoblje na visimi 👏👏👏,,10,Osoblje na visimi 👏👏👏 
Dorucak je odlican i zadovoljava sarenolike ukuse.,,10,Dorucak je odlican i zadovoljava sarenolike ukuse. 
Svee,Nista,10,Svee Nista
"Usluga je odlična i domaćini su izuzetno prijatni. Hotel je na odličnoj lokaciji, bazen je super.",,9,"Usluga je odlična i domaćini su izuzetno prijatni. Hotel je na odličnoj lokaciji, bazen je super. "
Odlična lokacija; veoma uredno!,,10,Odlična lokacija; veoma uredno! 
Odličan doručak i odlična lokacija!,Sve je bilo dobro,10,Odličan doručak i odlična lokacija! Sve je bilo dobro
